Nama Tempat Makan,Jenis Tempat Makan,Tanggal,Waktu,Foto Tempat,Foto Menu 1 (Foto Menu Utama),Foto Menu 2 (Foto Menu Lainnya),Menu Dalam Bentuk Link Digital,Apa Menu Utama/Andalan Yang Dijual?,Berapa Harga Rata-rata Menu Tersebut (Per porsi)?,Bagaimana Kondisi Pembeli Saat Kunjungan Dilakukan?,Apakah Berjualan Dengan Berkeliling (Mobilitas)?,Latitude,Longitude
DOPAMINE,Kafe,2026/06/10,"09:19:00",https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/undefined/1781057981037_stamped_1781057962886.jpg,https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/undefined/1781058000673_scaled_1000546928.jpg,https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/undefined/1781058010244_scaled_1000546929.jpg,,kopi dan makan berat,35000,Ramai (Terdapat antrean lebih dari 3 orang / kursi atau meja mayoritas penuh terisi), Tidak (Menetap/Mangkal di satu titik),-6.40223649998775,106.821909400001
D'BESTO,Fast Food,2026/06/03,11:34:00,https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/undefined/1780534010331_scaled_1000544815.jpg,https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/undefined/1780534021485_scaled_1000544817.jpg,https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/undefined/1780534033038_scaled_1000544818.jpg,,AYAM GORENG DAN BURGER,12000,Sepi (Hanya ada penjual / tidak ada antrean atau pembeli lain), Tidak (Menetap/Mangkal di satu titik),-6.39662329996681,106.836347899985
POINT COFFE,Kafe,2026/06/09,"09:56:00",https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/undefined/1780973805942_stamped_1780973797944.jpg,https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/undefined/1780973833180_stamped_1780973826265.jpg,https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/undefined/1780973849592_stamped_1780973839560.jpg,,kopi,25000,Sedang (Ada 1-3 pembeli yang sedang menunggu/makan), Tidak (Menetap/Mangkal di satu titik),-6.40329440002159,106.837846700016
JUSANTARA,Kafe,2026/06/04,"07:36:00",https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/undefined/1780533472409_stamped_1780533461230.jpg,https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/undefined/1780533401092_scaled_1000544813.jpg,https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/undefined/1780533410975_scaled_1000544812.jpg,,JUS BUAH DAN ROTI/SNACK MANIS,15000,Sedang (Ada 1-3 pembeli yang sedang menunggu/makan), Tidak (Menetap/Mangkal di satu titik),-6.40392009996759,106.837989100006
SUSU MBOK DARMI,Kafe,2026/06/05,10:29:00,https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/undefined/1780630210275_stamped_1780630198435.jpg,https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/undefined/1780630309618_stamped_1780630228912.jpg,https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/undefined/1780630443868_stamped_1780630428621.jpg,,SUSU PLAIN,19000,Sepi (Hanya ada penjual / tidak ada antrean atau pembeli lain), Tidak (Menetap/Mangkal di satu titik),-6.39619340000111,106.836588900019
JANJI JIWA,Kafe,2026/06/05,10:34:00,https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/undefined/1780630570893_stamped_1780630557249.jpg,https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/undefined/1780630589689_stamped_1780630579357.jpg,https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/undefined/1780630600946_scaled_1000545271.jpg,,kopi dan roti,22000,Sedang (Ada 1-3 pembeli yang sedang menunggu/makan), Tidak (Menetap/Mangkal di satu titik),-6.39612868840653,106.836589532061
CALF ,Kafe,2026/06/05,10:27:00,https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/undefined/1780630076142_stamped_1780630063000.jpg,https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/undefined/1780630099905_scaled_1000545266.jpg,https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/undefined/1780630121256_scaled_1000545265.jpg,,kopi dan roti,20000,Ramai (Terdapat antrean lebih dari 3 orang / kursi atau meja mayoritas penuh terisi), Tidak (Menetap/Mangkal di satu titik),-6.39553213584337,106.836656219994
KOAT COFFE,Kafe,2026/06/10,"09:22:00",https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/undefined/1781058192598_stamped_1781058186632.jpg,https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/undefined/1781058203988_scaled_1000546932.jpg,https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/undefined/1781058212358_scaled_1000546933.jpg,,kopi dan snack,25000,Sedang (Ada 1-3 pembeli yang sedang menunggu/makan), Tidak (Menetap/Mangkal di satu titik),-6.40074740000173,106.8272957
KEDAI KIMUNG,Kafe,2026/06/05,"07:40:00",https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/undefined/1780620071719_stamped_1780620062533.jpg,https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/undefined/1780620087633_scaled_1000545195.jpg,https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/undefined/1780620099934_scaled_1000545194.jpg,,kopi dan roti bakar,23000,Sedang (Ada 1-3 pembeli yang sedang menunggu/makan), Tidak (Menetap/Mangkal di satu titik),-6.42017109444032,106.828135475864
CHATIME,Kafe,2026/06/05,"07:36:00",https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/undefined/1780619844289_stamped_1780619835356.jpg,https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/undefined/1780619854976_scaled_1000545190.jpg,https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/undefined/1780619861587_scaled_1000545191.jpg,,minuman boba dan snack asin,20000,Sedang (Ada 1-3 pembeli yang sedang menunggu/makan), Tidak (Menetap/Mangkal di satu titik),-6.42161389999644,106.828767300014
