Kategori P,Jenis Prop, Tanggal,Alamat,Foto Tampa,Foto Spand,Latitude,Longitude
Coworking Space,Disewa,2026/02/22,"Jalan PH. H. Mustofa No 65 (Suci), Sukapada, Cibeunying Kidul, Kota Bandung, Indonesia",https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/mamang_devops/1771719271177_scaled_1000157219.jpg,https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/mamang_devops/1771719275600_scaled_1000157224.webp,-6.900054000189712,107.644248577245946
Gudang,Dijual,2026/02/28,"Jalan Sumber Endah I, Babakan Ciparay, Babakan Ciparay, Kota Bandung, Indonesia",https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/egipratama/1772252915380_stamped_1772252913623.jpg,https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/egipratama/1772252942578_stamped_1772252940466.jpg,-6.937680655906008,107.576561952734721
Gudang,Disewa,2026/03/02,"Jalan Sederhana 8-10, Pasteur Sukajadi Kota Bandung Jawa Barat, Pasteur, Sukasari, Kota Bandung, Indonesia",https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/bagusid/1772417185278_stamped_1772417182445.jpg,https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/bagusid/1772417198337_stamped_1772417196239.jpg,-6.894745860457250,107.598206257953279
Kantor,Dijual,2026/04/17,"Jalan Tamblong 48-50, Kebon Pisang Bandung Jawa Barat, Kebon Pisang, Sumur Bandung, Kota Bandung, Indonesia",https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/bagusid/1776389749257_stamped_1776389746855.jpg,https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/bagusid/1776389756737_stamped_1776389754937.jpg,-6.920343190093632,107.612323931312631
Kantor,Disewa,2026/04/19,"Jalan Merdeka 28, Babakan Ciamis Sumur Bandung Kota Bandung Jawa Barat, Babakan Ciamis, Sumur Bandung, Kota Bandung, Indonesia",https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/bagusid/1776571908098_stamped_1776571898475.jpg,https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/bagusid/1776571923643_stamped_1776571911828.jpg,-6.912045328366646,107.610581518494996
Kos,Dijual,2026/02/15,"Jalan Ikhlas VI, Panyileukan Regency, Cipadung Kidul, Panyileukan, Kota Bandung, Indonesia",https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/dwidwi/1771115315267_scaled_1000092951.jpg,https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/dwidwi/1771115320310_scaled_1000092952.jpg,-6.944829844856656,107.714252400009229
Kos,Disewa,2026/04/19,"Jalan Ir. H. Djuanda 216b, Cisitu Lama, Dago, Coblong, Kota Bandung, Indonesia",https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/bagusid/1776569103952_stamped_1776569102089.jpg,https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/bagusid/1776569111269_stamped_1776569109590.jpg,-6.882141228088444,107.615362389895623
Restoran,Disewa,2026/02/21,"Jalan Abdul Haris Nasution 21, Kel. Pakemitan, Pakemitan, Cinambo, Kota Bandung, Indonesia",https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/mamang_devops/1771666366638_scaled_1000156774.jpg,https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/mamang_devops/1771666365393_scaled_1000156775.jpg,-6.913743986199208,107.695707132873110
"Retail (toko baju, peralatan olahraga, toko elektronik, dll)",Disewa,2026/02/22,"Jalan PH. H. Mustofa 23, Kel. Padasuka, Padasuka, Cibeunying Kidul, Kota Bandung, Indonesia",https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/mamang_devops/1771718682467_scaled_1000157207.jpg,https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/mamang_devops/1771718687373_scaled_1000157208.jpg,-6.900501169673490,107.645311749679138
Retail FnB,Disewa,2026/04/17,"Jalan Naripan 79, Sumur Bandung Kota Bandung Jawa Barat, Kebon Pisang, Sumur Bandung, Kota Bandung, Indonesia",https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/mapid.database/1776652249490_img_%25rumah2_%25f2fe261e-704f-42c8-b3b7-f1e118fff11f.png,https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/bagusid/1776389479765_stamped_1776389476848.jpg,-6.920642481414746,107.614305379130769
