variabel,terisi,pct_semua,terisi_kawasan_diskor,pct_diskor,nilai_berbeda_diskor
jarak_simpul_m,253,100.0,85,100.0,83
menit_jalan,253,100.0,85,100.0,3
ridership_simpul,170,67.2,85,100.0,2
n_kompetitor,253,100.0,85,100.0,1
n_simpul_transit,253,100.0,85,100.0,1
n_generator_keramaian,253,100.0,85,100.0,1
n_poi_terpadu,253,100.0,85,100.0,1
izin_perdagangan,253,100.0,85,100.0,1
zonasi_diketahui,253,100.0,85,100.0,1
n_menu_go,253,100.0,85,100.0,1
n_struk_go,253,100.0,85,100.0,1
n_properti_go,253,100.0,85,100.0,1
n_activity,253,100.0,85,100.0,1
n_titik_survei,253,100.0,85,100.0,1
n_titik_kring,253,100.0,85,100.0,1
pop_100m,0,0.0,0,0.0,0
pop_usia_produktif,0,0.0,0,0.0,0
total_luas_bangunan_m2,0,0.0,0,0.0,0
jumlah_bangunan,0,0.0,0,0.0,0
rasio_tutupan_bangunan,0,0.0,0,0.0,0
risiko_banjir_indeks_mean,0,0.0,0,0.0,0
risiko_banjir_indeks_max,0,0.0,0,0.0,0
harga_median,0,0.0,0,0.0,0
belanja_median,0,0.0,0,0.0,0
skor_ramai_rata,0,0.0,0,0.0,0
znt_rp_per_m2,0,0.0,0,0.0,0
